"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","Get product by id returns valid product -- @1.2 ","","Fri Apr 24 12:00:27 UTC 2026","passed","Fri Apr 24 12:00:27 UTC 2026","","","",""
"","281","Get all products returns a non-empty list","","Fri Apr 24 12:00:26 UTC 2026","passed","Fri Apr 24 12:00:26 UTC 2026","","","",""
"","0","Adding a product to cart increases the cart count","ui_tests.tests","Fri Apr 24 12:01:54 UTC 2026","failed","Fri Apr 24 12:01:54 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","274","Get product by id returns valid product -- @1.1 ","","Fri Apr 24 12:00:27 UTC 2026","passed","Fri Apr 24 12:00:27 UTC 2026","","","",""
"","0","Clicking a product opens the detail page","ui_tests.tests","Fri Apr 24 12:02:17 UTC 2026","failed","Fri Apr 24 12:02:17 UTC 2026","TestProductBrowsing","test_product_browsing","",""
"","386","Get all carts returns a non-empty list","","Fri Apr 24 12:00:26 UTC 2026","passed","Fri Apr 24 12:00:26 UTC 2026","","","",""
"","536","Login with invalid credentials returns an error","","Fri Apr 24 12:00:25 UTC 2026","passed","Fri Apr 24 12:00:25 UTC 2026","","","",""
"","385","Get a single cart returns correct structure","","Fri Apr 24 12:00:25 UTC 2026","passed","Fri Apr 24 12:00:26 UTC 2026","","","",""
"","0","Home page displays a non-empty product list","ui_tests.tests","Fri Apr 24 12:02:12 UTC 2026","failed","Fri Apr 24 12:02:12 UTC 2026","TestProductBrowsing","test_product_browsing","",""
"","277","Get products by category returns filtered results","","Fri Apr 24 12:00:28 UTC 2026","passed","Fri Apr 24 12:00:28 UTC 2026","","","",""
"","0","User sees an error with invalid credentials","ui_tests.tests","Fri Apr 24 12:02:07 UTC 2026","failed","Fri Apr 24 12:02:07 UTC 2026","TestLogin","test_login","",""
"","1038","Login with valid credentials returns a token","","Fri Apr 24 12:00:24 UTC 2026","passed","Fri Apr 24 12:00:25 UTC 2026","","","",""
"","0","User can log in with valid credentials","ui_tests.tests","Fri Apr 24 12:02:01 UTC 2026","failed","Fri Apr 24 12:02:01 UTC 2026","TestLogin","test_login","",""
"","276","Get product by id returns valid product -- @1.3 ","","Fri Apr 24 12:00:27 UTC 2026","passed","Fri Apr 24 12:00:28 UTC 2026","","","",""
"","276","Get single product returns valid product data","","Fri Apr 24 12:00:26 UTC 2026","passed","Fri Apr 24 12:00:27 UTC 2026","","","",""
